@id,@lon,@lat,name,osm_id,denomination,opening_hours,addr:postcode,no,isced:field,source,building:material,x_coord,operator,name:en,note,addr:state,phone,addr:street,amenity,email,building,religion,tourism,addr:city,drinking_water,address,addr:housenumber,office,building:condition,place,categories,shop,man_made,fixme,capacity,description,y_coord,unocha:pcode,fee,type
1988184292,-12.8283606,8.1201624,Vine Memorial Baptist School,,,,,,,2012 NEC Polling Centers,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
2247907467,-13.1633317,8.1751477,Kent Slave House (today used as school),,,,,,,,,,,,,,,,school,,yes,,museum,,,,,,,locality,,,,,,,,SLE04010400028,,
2818709642,-12.2444495,9.4932629,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
2818709644,-12.2278269,9.6777594,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
2988851083,-11.5759713,7.8894401,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
2988895378,-11.5450498,7.9040987,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
2988895790,-11.5398942,7.8881332,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3028480080,-13.0039602,8.3363000,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,to be verified,,,,,,
3121249519,-11.9708583,9.0302380,,,,,,,,Bing,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3137243769,-12.9429673,8.5083523,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3339830616,-13.1464958,8.4079434,BABOON COLLEGE,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3339830617,-13.1468616,8.4094567,BABOON COLLEGE,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3339870267,-13.1442328,8.4110599,BABOON COLLEGE,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3339906978,-13.1717914,8.4436436,OLIVET BAPTIST PRIMARY SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3339954440,-13.1690489,8.4485167,BROWNDEL SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3340083531,-13.2474066,8.4783864,COVENT SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3340083532,-13.2470558,8.4772219,FSSG SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3340110251,-13.2468665,8.4791108,ST ANTHONY SCH,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3340155232,-13.2544380,8.4782728,GOVT TECHINCAL SCH COMPOS,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3340186286,-13.2559960,8.4788463,GRIL SCH COMPOS,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341831444,-13.2460490,8.4840174,FSSG SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341831451,-13.2468071,8.4828255,SCHOOL COMPUS SYKE STR COM,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341855622,-13.2166481,8.4905202,BISHOP JOHNSON SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341984099,-13.2201681,8.4872899,SLMB SCHOOL OLDFIELD ST,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341999167,-13.2131121,8.4875780,EASTEND MUNICIPAL SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3341999169,-13.2125876,8.4876082,HENRY FERGUSSON SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342020381,-13.1567751,8.4194016,DELE PREPARATORY SCHOOL COMPOUND,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342024388,-13.2262722,8.4908150,UNITED MUSLIM SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342039264,-13.2180880,8.4824364,UMC PRIMARY SCHOOL GINGERHALL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342039265,-13.2186248,8.4814007,WESLEYAN PRIMARY SCH. GINGER L,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342113916,-13.1954182,8.4719757,PEDROYAL ACADEMY SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342122943,-13.1609528,8.4277370,BILL CLINTON INTERNATIONAL SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342157258,-13.1783343,8.4613025,APPROVED SCHOOL FOOTBALL FIELD,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342186810,-13.1881681,8.4728447,RECHARD ALLEN SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342186811,-13.1860893,8.4741268,W5ESLYAN SCHOOL,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
3342203324,-13.1867594,8.4632517,MSF HIGH SCHOOL,,,,,,,MSF-CH,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,
